epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.034,1.47352,0.96517,1,0.25368,0.000236714,0.000236714,0.000236714
2,15.394,0.23476,0.95522,1,0.15693,0.000459048,0.000459048,0.000459048
3,22.085,0.18441,0.95522,0.99502,0.20595,0.000665674,0.000665674,0.000665674
4,28.506,0.198,0.9204,1,0.23509,0.000643314,0.000643314,0.000643314
5,34.617,0.14883,0.9602,1,0.11524,0.000619752,0.000619752,0.000619752
6,41.213,0.13406,0.9602,1,0.14128,0.00059619,0.00059619,0.00059619
7,47.798,0.1223,0.92537,1,0.14987,0.000572628,0.000572628,0.000572628
8,54.291,0.1008,0.9602,1,0.1087,0.000549066,0.000549066,0.000549066
9,60.521,0.09316,0.93532,1,0.13853,0.000525504,0.000525504,0.000525504
10,67.344,0.09118,0.87562,1,0.43004,0.000501942,0.000501942,0.000501942
11,74.239,0.0734,0.95025,1,0.23277,0.00047838,0.00047838,0.00047838
12,81.347,0.06288,0.9602,1,0.09968,0.000454818,0.000454818,0.000454818
13,88.5994,0.05878,0.97015,1,0.13262,0.000431256,0.000431256,0.000431256
14,95.3114,0.0582,0.9403,1,0.13652,0.000407694,0.000407694,0.000407694
15,101.979,0.0541,0.95522,1,0.10923,0.000384132,0.000384132,0.000384132
16,108.215,0.07019,0.94527,1,0.17766,0.00036057,0.00036057,0.00036057
17,114.492,0.05751,0.97015,1,0.08889,0.000337008,0.000337008,0.000337008
18,120.784,0.0377,0.97015,1,0.08461,0.000313446,0.000313446,0.000313446
19,127.619,0.04658,0.96517,1,0.1418,0.000289884,0.000289884,0.000289884
20,133.848,0.0408,0.97015,1,0.07125,0.000266322,0.000266322,0.000266322
21,161.707,0.03604,0.98507,1,0.06306,0.00024276,0.00024276,0.00024276
22,168.4,0.0313,0.97512,1,0.06416,0.000219198,0.000219198,0.000219198
23,174.444,0.03272,0.97512,1,0.12114,0.000195636,0.000195636,0.000195636
24,181.005,0.02765,0.9801,1,0.05982,0.000172074,0.000172074,0.000172074
25,187.363,0.02301,0.97512,1,0.06516,0.000148512,0.000148512,0.000148512
26,194.542,0.0293,0.97015,1,0.07874,0.00012495,0.00012495,0.00012495
27,201.624,0.02333,0.9801,1,0.07336,0.000101388,0.000101388,0.000101388
28,207.725,0.02553,0.97015,1,0.08365,7.7826e-05,7.7826e-05,7.7826e-05
29,214.057,0.02267,0.9801,1,0.07582,5.4264e-05,5.4264e-05,5.4264e-05
30,220.311,0.02845,0.96517,1,0.07471,3.0702e-05,3.0702e-05,3.0702e-05
