epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.2773,0,1,1,0,0.000661376,0.000661376,0.000661376
2,18.8174,0,1,1,0,0.00128422,0.00128422,0.00128422
3,25.613,0,1,1,0,0.00186306,0.00186306,0.00186306
4,32.2054,0,1,1,0,0.001802,0.001802,0.001802
5,38.7702,0,1,1,0,0.001736,0.001736,0.001736
6,45.3456,0,1,1,0,0.00167,0.00167,0.00167
7,51.9268,0,1,1,0,0.001604,0.001604,0.001604
8,58.5555,0,1,1,0,0.001538,0.001538,0.001538
9,65.2195,0,1,1,0,0.001472,0.001472,0.001472
10,71.9981,0,1,1,0,0.001406,0.001406,0.001406
11,78.5095,0,1,1,0,0.00134,0.00134,0.00134
12,84.9346,0,1,1,0,0.001274,0.001274,0.001274
13,91.6473,0,1,1,0,0.001208,0.001208,0.001208
14,98.2436,0,1,1,0,0.001142,0.001142,0.001142
15,104.717,0,1,1,0,0.001076,0.001076,0.001076
16,111.457,0,1,1,0,0.00101,0.00101,0.00101
17,118.5,0,1,1,0,0.000944,0.000944,0.000944
18,125.127,0,1,1,0,0.000878,0.000878,0.000878
19,131.76,0,1,1,0,0.000812,0.000812,0.000812
20,138.422,0,1,1,0,0.000746,0.000746,0.000746
