epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1,1.42533,0.8,1,0.62549,0.000236792,0.000236792,0.000236792
2,19.4703,0.25417,0.8,0.9,0.65479,0.000459124,0.000459124,0.000459124
3,26.3543,0.16179,0.8,0.9,0.5918,0.000665748,0.000665748,0.000665748
4,33.3463,0.19207,0.8,0.9,1.08301,0.000643314,0.000643314,0.000643314
5,40.7008,0.14342,0.8,0.9,1.08594,0.000619752,0.000619752,0.000619752
6,47.7854,0.13777,0.8,0.9,1.04883,0.00059619,0.00059619,0.00059619
7,54.8107,0.14595,0.8,0.9,1.1084,0.000572628,0.000572628,0.000572628
8,62.035,0.10992,0.8,0.9,1.33105,0.000549066,0.000549066,0.000549066
9,69.0879,0.08975,0.8,0.9,1.16797,0.000525504,0.000525504,0.000525504
10,75.9629,0.08607,0.8,0.8,1.6377,0.000501942,0.000501942,0.000501942
11,83.5521,0.08042,0.8,0.9,1.03711,0.00047838,0.00047838,0.00047838
12,90.7152,0.06935,0.8,0.9,1.07129,0.000454818,0.000454818,0.000454818
13,97.7422,0.06187,0.8,1,0.94385,0.000431256,0.000431256,0.000431256
14,104.737,0.0574,0.8,0.9,1.44336,0.000407694,0.000407694,0.000407694
15,111.616,0.04634,0.8,0.9,1.05957,0.000384132,0.000384132,0.000384132
16,118.764,0.05042,0.8,0.9,1.06348,0.00036057,0.00036057,0.00036057
17,126.108,0.0419,0.8,0.8,1.23926,0.000337008,0.000337008,0.000337008
18,133.162,0.04358,0.8,0.9,1.44238,0.000313446,0.000313446,0.000313446
19,140.29,0.03892,0.8,0.9,1.28125,0.000289884,0.000289884,0.000289884
20,148.803,0.0327,0.8,0.9,0.9082,0.000266322,0.000266322,0.000266322
21,183.868,0.02679,0.8,0.9,0.99951,0.00024276,0.00024276,0.00024276
22,191.984,0.03647,0.8,0.9,1.08496,0.000219198,0.000219198,0.000219198
23,200.233,0.03051,0.8,0.9,1.13184,0.000195636,0.000195636,0.000195636
24,208.432,0.03758,0.8,0.9,1.05957,0.000172074,0.000172074,0.000172074
25,216.454,0.05472,0.8,0.9,1.06836,0.000148512,0.000148512,0.000148512
26,224.817,0.02054,0.8,0.9,0.89746,0.00012495,0.00012495,0.00012495
27,232.693,0.02525,0.8,0.9,0.89844,0.000101388,0.000101388,0.000101388
28,239.881,0.0201,0.8,0.9,0.85547,7.7826e-05,7.7826e-05,7.7826e-05
29,246.927,0.02313,0.8,0.9,1.01758,5.4264e-05,5.4264e-05,5.4264e-05
30,254.289,0.01756,0.8,0.9,0.9668,3.0702e-05,3.0702e-05,3.0702e-05
