epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.4894,0,1,1,0,0.000661376,0.000661376,0.000661376
2,18.6845,0,1,1,0,0.00131489,0.00131489,0.00131489
3,25.6507,0,1,1,0,0.00195521,0.00195521,0.00195521
4,32.552,0,1,1,0,0.0019406,0.0019406,0.0019406
5,39.689,0,1,1,0,0.0019208,0.0019208,0.0019208
6,46.7062,0,1,1,0,0.001901,0.001901,0.001901
7,53.7959,0,1,1,0,0.0018812,0.0018812,0.0018812
8,61.0259,0,1,1,0,0.0018614,0.0018614,0.0018614
9,68.2362,0,1,1,0,0.0018416,0.0018416,0.0018416
10,75.2747,0,1,1,0,0.0018218,0.0018218,0.0018218
11,82.1586,0,1,1,0,0.001802,0.001802,0.001802
12,89.2561,0,1,1,0,0.0017822,0.0017822,0.0017822
13,96.1209,0,1,1,0,0.0017624,0.0017624,0.0017624
14,102.909,0,1,1,0,0.0017426,0.0017426,0.0017426
15,109.752,0,1,1,0,0.0017228,0.0017228,0.0017228
16,116.938,0,1,1,0,0.001703,0.001703,0.001703
17,124.172,0,1,1,0,0.0016832,0.0016832,0.0016832
18,131.245,0,1,1,0,0.0016634,0.0016634,0.0016634
19,138.219,0,1,1,0,0.0016436,0.0016436,0.0016436
20,145.129,0,1,1,0,0.0016238,0.0016238,0.0016238
21,152.208,0,1,1,0,0.001604,0.001604,0.001604
22,158.838,0,1,1,0,0.0015842,0.0015842,0.0015842
23,165.643,0,1,1,0,0.0015644,0.0015644,0.0015644
24,172.354,0,1,1,0,0.0015446,0.0015446,0.0015446
25,179.424,0,1,1,0,0.0015248,0.0015248,0.0015248
26,186.787,0,1,1,0,0.001505,0.001505,0.001505
27,194.21,0,1,1,0,0.0014852,0.0014852,0.0014852
28,201.902,0,1,1,0,0.0014654,0.0014654,0.0014654
29,209.246,0,1,1,0,0.0014456,0.0014456,0.0014456
30,216.593,0,1,1,0,0.0014258,0.0014258,0.0014258
31,223.478,0,1,1,0,0.001406,0.001406,0.001406
32,229.932,0,1,1,0,0.0013862,0.0013862,0.0013862
33,236.588,0,1,1,0,0.0013664,0.0013664,0.0013664
34,243.357,0,1,1,0,0.0013466,0.0013466,0.0013466
35,249.947,0,1,1,0,0.0013268,0.0013268,0.0013268
36,256.618,0,1,1,0,0.001307,0.001307,0.001307
