epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.04,0.72126,0.8,1,0.97314,0.000367394,0.000367394,0.000367394
2,18.4708,0.11014,0.6,1,1.32129,0.000713383,0.000713383,0.000713383
3,25.1791,0.10495,0.6,1,3.08984,0.00103493,0.00103493,0.00103493
4,31.5681,0.15042,0.8,1,1.04883,0.00100101,0.00100101,0.00100101
5,38.1713,0.10796,0.8,1,1.94824,0.000964348,0.000964348,0.000964348
6,44.7131,0.11472,0.8,1,1.48828,0.000927685,0.000927685,0.000927685
7,51.1356,0.09803,0.8,1,1.57129,0.000891022,0.000891022,0.000891022
8,57.6718,0.0764,0.8,1,0.77637,0.000854359,0.000854359,0.000854359
9,64.1573,0.06943,0.8,1,1.4541,0.000817696,0.000817696,0.000817696
10,70.787,0.03827,0.8,1,1.80371,0.000781033,0.000781033,0.000781033
11,77.4137,0.04762,0.6,1,1.53711,0.00074437,0.00074437,0.00074437
12,83.9585,0.07561,0.8,1,1.86133,0.000707707,0.000707707,0.000707707
13,90.7005,0.05176,0.8,1,1.55859,0.000671044,0.000671044,0.000671044
14,97.194,0.03267,0.6,1,1.82324,0.000634381,0.000634381,0.000634381
15,103.736,0.03166,0.6,1,1.73633,0.000597718,0.000597718,0.000597718
16,110.283,0.03363,0.8,1,2.2793,0.000561055,0.000561055,0.000561055
17,116.859,0.02594,0.6,1,1.95215,0.000524392,0.000524392,0.000524392
18,123.402,0.02426,0.4,1,2.57617,0.000487729,0.000487729,0.000487729
19,130.151,0.02022,0.4,1,2.35742,0.000451066,0.000451066,0.000451066
20,136.713,0.01272,0.6,1,2.35938,0.000414403,0.000414403,0.000414403
21,217.294,0.01636,0.8,1,2.20508,0.00037774,0.00037774,0.00037774
22,225.38,0.01224,0.6,1,2.42578,0.000341077,0.000341077,0.000341077
23,233.183,0.01791,0.8,1,2.29102,0.000304414,0.000304414,0.000304414
24,240.19,0.01792,0.6,1,2.5,0.000267751,0.000267751,0.000267751
25,246.94,0.01383,0.6,1,2.2207,0.000231088,0.000231088,0.000231088
26,253.415,0.01016,0.8,1,1.95898,0.000194425,0.000194425,0.000194425
27,260.118,0.01962,0.8,1,1.77246,0.000157762,0.000157762,0.000157762
28,266.823,0.00521,0.8,1,1.71094,0.000121099,0.000121099,0.000121099
29,273.966,0.01535,0.8,1,1.73926,8.4436e-05,8.4436e-05,8.4436e-05
30,280.922,0.00855,0.8,1,1.71582,4.7773e-05,4.7773e-05,4.7773e-05
