epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
47,311.109,0.02823,0.9602,0.99005,0.2011,0.000388844,0.000388844,0.000388844
48,317.635,0.01593,0.9602,1,0.20185,0.000381776,0.000381776,0.000381776
49,324,0.02684,0.95522,1,0.20101,0.000374707,0.000374707,0.000374707
50,330.818,0.03022,0.9602,1,0.16303,0.000367639,0.000367639,0.000367639
51,337.475,0.01979,0.96517,1,0.17164,0.00036057,0.00036057,0.00036057
52,344.258,0.02444,0.93035,1,0.34863,0.000353501,0.000353501,0.000353501
53,350.737,0.02615,0.96517,1,0.14552,0.000346433,0.000346433,0.000346433
54,357.266,0.0198,0.96517,1,0.13745,0.000339364,0.000339364,0.000339364
55,363.957,0.02016,0.97015,1,0.16288,0.000332296,0.000332296,0.000332296
56,370.543,0.02144,0.97512,1,0.11123,0.000325227,0.000325227,0.000325227
57,377.091,0.02672,0.97015,1,0.16224,0.000318158,0.000318158,0.000318158
58,383.912,0.02405,0.95522,1,0.12929,0.00031109,0.00031109,0.00031109
59,390.384,0.02633,0.97512,1,0.07568,0.000304021,0.000304021,0.000304021
60,397.176,0.01274,0.97512,1,0.1341,0.000296953,0.000296953,0.000296953
61,403.938,0.01992,0.95522,1,0.1777,0.000289884,0.000289884,0.000289884
62,410.366,0.01547,0.97015,1,0.09505,0.000282815,0.000282815,0.000282815
63,417.025,0.02279,0.97015,1,0.07739,0.000275747,0.000275747,0.000275747
64,423.673,0.02136,0.96517,1,0.0814,0.000268678,0.000268678,0.000268678
65,430.247,0.01955,0.9602,1,0.11697,0.00026161,0.00026161,0.00026161
66,436.919,0.02268,0.95025,1,0.1069,0.000254541,0.000254541,0.000254541
67,443.586,0.01649,0.97015,0.99502,0.11207,0.000247472,0.000247472,0.000247472
68,449.925,0.01672,0.96517,0.99502,0.11093,0.000240404,0.000240404,0.000240404
69,456.566,0.01536,0.97512,0.99502,0.20061,0.000233335,0.000233335,0.000233335
70,463.174,0.01274,0.97015,0.99502,0.11134,0.000226267,0.000226267,0.000226267
71,469.7,0.00907,0.97015,0.99502,0.10836,0.000219198,0.000219198,0.000219198
72,476.313,0.0116,0.97512,0.99502,0.1665,0.000212129,0.000212129,0.000212129
73,483.086,0.02051,0.96517,0.99502,0.18211,0.000205061,0.000205061,0.000205061
74,489.463,0.01824,0.97015,0.99502,0.15049,0.000197992,0.000197992,0.000197992
75,496.164,0.02022,0.97015,1,0.1098,0.000190924,0.000190924,0.000190924
76,502.727,0.01635,0.97512,1,0.08972,0.000183855,0.000183855,0.000183855
77,509.439,0.01405,0.97015,1,0.11696,0.000176786,0.000176786,0.000176786
78,516.369,0.02201,0.95025,1,0.15979,0.000169718,0.000169718,0.000169718
79,523.059,0.01244,0.9602,1,0.12999,0.000162649,0.000162649,0.000162649
80,529.654,0.01017,0.96517,1,0.12101,0.000155581,0.000155581,0.000155581
81,536.083,0.0117,0.96517,1,0.11902,0.000148512,0.000148512,0.000148512
82,542.864,0.01065,0.97015,1,0.1213,0.000141443,0.000141443,0.000141443
83,549.516,0.0093,0.96517,1,0.14088,0.000134375,0.000134375,0.000134375
84,556.179,0.01097,0.97015,1,0.12776,0.000127306,0.000127306,0.000127306
85,562.888,0.01092,0.97015,1,0.1146,0.000120238,0.000120238,0.000120238
86,569.49,0.00598,0.97015,1,0.13338,0.000113169,0.000113169,0.000113169
87,575.867,0.0094,0.97015,1,0.14952,0.0001061,0.0001061,0.0001061
88,582.526,0.00874,0.9602,1,0.16484,9.90318e-05,9.90318e-05,9.90318e-05
89,589.325,0.01293,0.9602,1,0.27761,9.19632e-05,9.19632e-05,9.19632e-05
90,596.085,0.00963,0.9602,1,0.26899,8.48946e-05,8.48946e-05,8.48946e-05
91,624.836,0.0116,0.9602,1,0.18016,7.7826e-05,7.7826e-05,7.7826e-05
92,631.66,0.01123,0.9602,1,0.20184,7.07574e-05,7.07574e-05,7.07574e-05
93,638.027,0.00733,0.9602,1,0.2491,6.36888e-05,6.36888e-05,6.36888e-05
94,644.68,0.00926,0.96517,1,0.26156,5.66202e-05,5.66202e-05,5.66202e-05
95,651.29,0.00461,0.96517,1,0.18958,4.95516e-05,4.95516e-05,4.95516e-05
96,657.999,0.00797,0.96517,1,0.17229,4.2483e-05,4.2483e-05,4.2483e-05
97,664.695,0.00793,0.96517,1,0.16592,3.54144e-05,3.54144e-05,3.54144e-05
98,671.462,0.00639,0.96517,1,0.15895,2.83458e-05,2.83458e-05,2.83458e-05
99,678.125,0.01259,0.96517,1,0.15827,2.12772e-05,2.12772e-05,2.12772e-05
100,684.704,0.00655,0.96517,1,0.23659,1.42086e-05,1.42086e-05,1.42086e-05
