epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.018,1.45668,0.96517,1,0.27065,0.000236707,0.000236707,0.000236707
2,14.784,0.24127,0.97512,1,0.08585,0.000470007,0.000470007,0.000470007
3,21.401,0.18162,0.95025,0.99502,0.20987,0.000698595,0.000698595,0.000698595
4,27.873,0.20025,0.91542,1,0.24043,0.000692794,0.000692794,0.000692794
5,34.08,0.16383,0.93035,1,0.20876,0.000685726,0.000685726,0.000685726
6,40.515,0.14877,0.9403,1,0.17754,0.000678657,0.000678657,0.000678657
7,46.8587,0.12524,0.92537,1,0.19853,0.000671588,0.000671588,0.000671588
8,53.0577,0.10697,0.96517,1,0.09032,0.00066452,0.00066452,0.00066452
9,59.3997,0.08537,0.88557,0.99502,0.55121,0.000657451,0.000657451,0.000657451
10,65.5687,0.09738,0.95522,1,0.10159,0.000650383,0.000650383,0.000650383
11,72.6577,0.08576,0.95025,1,0.16925,0.000643314,0.000643314,0.000643314
12,79.7807,0.08301,0.92537,1,0.26128,0.000636245,0.000636245,0.000636245
13,86.8437,0.09291,0.91045,1,0.27435,0.000629177,0.000629177,0.000629177
14,93.9097,0.09154,0.95522,1,0.12067,0.000622108,0.000622108,0.000622108
15,100.937,0.08411,0.9602,1,0.10171,0.00061504,0.00061504,0.00061504
16,107.665,0.08963,0.89552,1,0.40745,0.000607971,0.000607971,0.000607971
17,113.942,0.08371,0.95025,1,0.16329,0.000600902,0.000600902,0.000600902
18,120.16,0.06101,0.93532,1,0.27494,0.000593834,0.000593834,0.000593834
19,126.563,0.06793,0.96517,1,0.11442,0.000586765,0.000586765,0.000586765
20,132.954,0.06234,0.9602,1,0.11741,0.000579697,0.000579697,0.000579697
21,139.206,0.06121,0.95522,1,0.14546,0.000572628,0.000572628,0.000572628
22,145.568,0.04896,0.96517,1,0.16534,0.000565559,0.000565559,0.000565559
23,152.439,0.04214,0.9602,0.99502,0.19244,0.000558491,0.000558491,0.000558491
24,159.048,0.06817,0.95522,0.99502,0.17364,0.000551422,0.000551422,0.000551422
25,165.972,0.05721,0.92537,1,0.21287,0.000544354,0.000544354,0.000544354
26,172.651,0.04733,0.96517,1,0.09915,0.000537285,0.000537285,0.000537285
27,179.193,0.03816,0.98507,1,0.0891,0.000530216,0.000530216,0.000530216
28,185.893,0.04096,0.96517,1,0.12111,0.000523148,0.000523148,0.000523148
29,192.324,0.04761,0.95025,1,0.14882,0.000516079,0.000516079,0.000516079
30,198.967,0.04179,0.9602,1,0.11279,0.000509011,0.000509011,0.000509011
31,205.756,0.03578,0.9602,1,0.15443,0.000501942,0.000501942,0.000501942
32,212.403,0.04907,0.97015,1,0.1279,0.000494873,0.000494873,0.000494873
33,219.071,0.04142,0.97015,1,0.07497,0.000487805,0.000487805,0.000487805
34,225.591,0.04852,0.9602,1,0.14668,0.000480736,0.000480736,0.000480736
35,232.214,0.05132,0.97512,1,0.08757,0.000473668,0.000473668,0.000473668
36,238.906,0.04659,0.9602,1,0.11321,0.000466599,0.000466599,0.000466599
37,245.654,0.03375,0.97015,1,0.10496,0.00045953,0.00045953,0.00045953
38,252.044,0.03686,0.97015,1,0.11579,0.000452462,0.000452462,0.000452462
39,258.42,0.03364,0.9602,1,0.20849,0.000445393,0.000445393,0.000445393
40,264.978,0.04236,0.9602,1,0.13274,0.000438325,0.000438325,0.000438325
41,271.652,0.03879,0.97512,1,0.1096,0.000431256,0.000431256,0.000431256
42,278.03,0.02651,0.96517,1,0.13294,0.000424187,0.000424187,0.000424187
43,284.703,0.03479,0.96517,1,0.12705,0.000417119,0.000417119,0.000417119
44,291.285,0.04036,0.97015,1,0.09797,0.00041005,0.00041005,0.00041005
45,297.989,0.02955,0.97015,1,0.12262,0.000402982,0.000402982,0.000402982
46,304.538,0.01879,0.98507,0.99502,0.10219,0.000395913,0.000395913,0.000395913
